"Absen ID","User ID","Start Day","End Day",Status,"Created At"
,,"2023-03-16 07:53:57","2023-03-24 17:47:57",Standby,"2023-03-16 07:53:57"
,,"2023-03-17 06:38:15","2023-03-17 06:46:58",Selesai,"2023-03-17 06:38:15"
,,"2023-03-21 08:46:51","2023-03-24 17:17:26",Selesai,"2023-03-21 08:46:51"
,,"2023-03-24 17:17:56","2023-03-24 17:21:10",Selesai,"2023-03-24 10:17:56"
,,"2023-03-24 17:21:52","2023-03-24 17:47:57",Standby,"2023-03-24 10:21:52"
,,"2023-03-24 17:22:00","2023-03-24 17:47:57",Standby,"2023-03-24 10:22:00"
,,"2023-03-24 17:23:11","2023-03-24 17:25:24",Selesai,"2023-03-24 10:23:11"
,,"2023-03-24 17:25:38","2023-03-24 17:25:49",Selesai,"2023-03-24 10:25:38"
,,"2023-03-24 17:35:55","2023-03-24 17:36:45",Selesai,"2023-03-24 10:35:55"
,,"2023-03-24 17:41:02","2023-03-24 17:44:52",Selesai,"2023-03-24 10:41:02"
,,"2023-03-24 17:42:47","2023-03-24 17:42:58",Selesai,"2023-03-24 10:42:47"
,,"2023-03-24 17:44:02","2023-03-24 17:44:37",Selesai,"2023-03-24 10:44:02"
,,"2023-03-24 17:45:03","2023-03-24 17:47:57",Afk,"2023-03-24 10:45:03"
,,"2023-03-24 17:47:57","2023-03-24 17:47:57",Afk,"2023-03-24 10:47:57"
,,"2023-03-24 17:52:08","2023-03-24 17:53:14",Selesai,"2023-03-24 10:52:08"
,,"2023-03-24 17:53:54","2023-03-24 17:54:18",Selesai,"2023-03-24 10:53:54"
,,"2023-03-24 18:56:54","2023-03-24 18:57:31",Selesai,"2023-03-24 11:56:54"
,,"2023-03-24 18:56:54",,Standby,"2023-03-24 11:56:54"
,,"2023-03-27 17:43:11","2023-03-27 17:44:38",Selesai,"2023-03-27 10:43:11"
,25,"2023-03-28 10:18:53","2023-03-28 10:36:53",Selesai,"2023-03-28 03:18:53"
,,"2023-03-28 10:38:08","2023-03-28 10:40:45",Selesai,"2023-03-28 03:38:08"
,,"2023-03-28 10:42:14","2023-03-28 10:45:17",Selesai,"2023-03-28 03:42:14"
,,"2023-03-28 10:43:45","2023-03-28 18:43:45",Standby,"2023-03-28 03:43:45"
,25,"2023-02-18 10:51:49","2023-02-18 10:52:01",Selesai,"2023-02-18 03:51:49"
,,"2023-03-28 12:27:33","2023-03-28 12:30:02",Selesai,"2023-03-28 05:27:33"
,22,"2023-03-25 15:05:15","2023-03-26 16:05:19",Selesai,"2023-03-28 08:05:15"
,,"2023-03-28 16:48:13","2023-03-28 17:59:58",Selesai,"2023-03-28 09:48:13"
,,"2023-03-28 18:09:19","2023-03-28 19:58:02",Selesai,"2023-03-28 11:09:19"
,,"2023-03-28 19:59:00","2023-03-28 20:19:58",Selesai,"2023-03-28 12:59:00"
,,"2023-03-28 21:09:35","2023-03-28 21:17:37",Selesai,"2023-03-28 14:09:35"
,,"2023-03-28 21:44:58","2023-03-28 22:16:55",Selesai,"2023-03-28 14:44:58"
,,"2023-03-29 04:25:00","2023-03-29 04:53:16",Selesai,"2023-03-28 21:25:00"
,25,"2023-03-29 11:11:43","2023-03-29 11:14:11",Selesai,"2023-03-29 04:11:43"
,,"2023-03-29 11:18:32","2023-03-29 15:06:59",Selesai,"2023-03-29 04:18:32"
,,"2023-03-29 14:21:58","2023-03-29 14:22:36",Selesai,"2023-03-29 14:21:58"
,33,"2023-03-28 15:15:40","2023-03-28 16:35:50",Selesai,"2023-03-29 15:15:40"
,,"2023-03-29 16:02:49","2023-03-29 18:02:49",Afk,"2023-03-29 16:02:49"
,39,"2023-03-29 16:46:47","2023-03-29 16:47:07",Selesai,"2023-03-29 16:46:47"
,22,"2023-03-29 16:48:04","2023-03-29 19:09:40",Selesai,"2023-03-29 16:48:04"
,36,"2023-03-29 16:49:28","2023-03-30 15:46:22",Selesai,"2023-03-29 16:49:28"
,42,"2023-03-29 16:49:50","2023-03-29 21:14:27",Selesai,"2023-03-29 16:49:50"
,34,"2023-03-29 16:52:24","2023-03-29 16:53:50",Selesai,"2023-03-29 16:52:24"
,,"2023-03-29 17:38:59","2023-03-29 17:40:09",Selesai,"2023-03-29 17:38:59"
,,"2023-03-29 17:43:27","2023-03-29 17:44:10",Selesai,"2023-03-29 17:43:27"
,40,"2023-03-30 08:37:03","2023-03-31 08:37:03",Selesai,"2023-03-30 08:37:03"
,43,"2023-03-30 09:25:23","2023-03-30 17:34:26",Selesai,"2023-03-30 09:25:23"
,44,"2023-03-30 10:09:59","2023-03-30 22:17:42",Selesai,"2023-03-30 10:09:59"
,41,"2023-03-30 10:28:46","2023-03-30 18:16:14",Selesai,"2023-03-30 10:28:46"
,21,"2023-03-25 10:44:23","2023-03-25 10:44:43",Selesai,"2023-03-29 10:44:23"
,21,"2023-03-26 10:45:59","2023-03-26 11:00:29",Selesai,"2023-03-30 10:45:59"
,22,"2023-03-30 10:50:22","2023-03-30 18:28:02",Selesai,"2023-03-30 10:50:22"
,42,"2023-03-30 10:55:57","2023-03-30 23:14:48",Selesai,"2023-03-30 10:55:57"
,37,"2023-03-30 11:12:11","2023-03-30 21:00:03",Selesai,"2023-03-30 11:12:11"
,46,"2023-03-30 11:16:24","2023-03-31 10:25:03",Selesai,"2023-03-30 11:16:24"
,34,"2023-03-30 14:03:40","2023-03-30 18:56:04",Selesai,"2023-03-30 14:03:40"
,33,"2023-03-29 07:00:00","2023-03-31 10:56:01",Selesai,"2023-03-30 14:37:04"
,21,"2023-03-28 12:49:28","2023-03-30 15:46:22",Selesai,
,21,"2023-03-30 16:19:05","2023-03-30 16:47:45",Selesai,"2023-03-30 16:19:05"
,36,"2023-03-30 16:20:49","2023-03-30 16:49:16",Selesai,"2023-03-30 16:20:49"
,36,"2023-03-31 08:24:35","2023-03-31 18:00:00",Selesai,"2023-03-31 08:24:35"
,41,"2023-03-31 08:36:31","2023-03-31 18:00:00",Standby,"2023-03-31 08:36:31"
,43,"2023-03-31 09:31:15","2023-03-31 18:20:36",Selesai,"2023-03-31 09:31:15"
,44,"2023-03-31 09:34:32","2023-03-31 18:00:00",Standby,"2023-03-31 09:34:32"
,37,"2023-03-31 09:39:53","2023-03-31 21:47:38",Selesai,"2023-03-31 09:39:53"
,46,"2023-03-31 10:25:12","2023-03-31 18:00:00",Selesai,"2023-03-31 10:25:12"
,22,"2023-03-31 10:25:40","2023-03-31 18:26:53",Selesai,"2023-03-31 10:25:40"
,40,"2023-03-31 11:00:25","2023-03-31 22:52:27",Selesai,"2023-03-31 11:00:25"
,9,"2023-03-31 15:03:21","2023-03-31 15:30:04",Selesai,"2023-03-31 15:03:21"
,33,"2023-03-31 01:00:37","2023-04-04 09:58:10",Selesai,"2023-03-31 15:45:37"
,34,"2023-03-31 15:51:31","2023-03-31 19:07:08",Selesai,"2023-03-31 15:51:31"
,36,"2023-04-03 07:15:51","2023-04-03 16:56:20",Selesai,"2023-04-03 07:15:51"
,42,"2023-04-03 08:11:06","2023-04-03 16:45:04",Selesai,"2023-04-03 08:11:06"
,43,"2023-04-03 08:52:09","2023-04-03 15:41:13",Selesai,"2023-04-03 08:52:09"
,44,"2023-04-03 09:06:17","2023-04-03 18:45:39",Selesai,"2023-04-03 09:06:17"
,41,"2023-04-03 09:50:53","2023-04-03 17:12:59",Selesai,"2023-04-03 09:50:53"
,37,"2023-04-03 09:59:24","2023-04-03 19:03:35",Selesai,"2023-04-03 09:59:24"
,22,"2023-04-03 10:05:18","2023-04-04 11:15:49",Selesai,"2023-04-03 10:05:18"
,23,"2023-04-03 11:35:00","2023-04-03 11:35:42",Selesai,"2023-04-03 11:35:00"
,46,"2023-04-03 11:36:05","2023-04-04 16:15:35",Selesai,"2023-04-03 11:36:05"
,21,"2023-04-03 11:43:00","2023-04-04 16:33:41",Selesai,"2023-04-03 11:43:00"
,40,"2023-04-03 13:18:42","2023-04-03 21:37:48",Selesai,"2023-04-03 13:18:42"
,36,"2023-04-04 08:00:08","2023-04-04 17:26:24",Selesai,"2023-04-04 08:00:08"
,43,"2023-04-04 09:09:18","2023-04-04 19:30:16",Selesai,"2023-04-04 09:09:18"
,42,"2023-04-04 09:15:40","2023-04-05 08:36:36",Selesai,"2023-04-04 09:15:40"
,41,"2023-04-04 09:31:04","2023-04-05 08:37:35",Selesai,"2023-04-04 09:31:04"
,44,"2023-04-04 09:57:05","2023-04-05 04:24:27",Selesai,"2023-04-04 09:57:05"
,22,"2023-04-04 11:15:53","2023-04-04 20:35:47",Selesai,"2023-04-04 11:15:53"
,9,"2023-04-04 11:32:28","2023-04-04 11:35:10",Selesai,"2023-04-04 11:32:28"
,40,"2023-04-04 12:05:38","2023-04-04 20:10:25",Selesai,"2023-04-04 12:05:38"
,33,"2023-04-04 13:17:00","2023-04-05 09:32:22",Selesai,"2023-04-04 13:17:00"
,37,"2023-04-04 13:40:03","2023-04-05 01:13:24",Selesai,"2023-04-04 13:40:03"
,46,"2023-04-04 16:26:24","2023-04-05 12:09:54",Selesai,"2023-04-04 16:26:24"
,42,"2023-04-05 08:36:44","2023-04-10 08:51:58",Selesai,"2023-04-05 08:36:44"
,41,"2023-04-05 08:43:18","2023-04-05 18:17:15",Selesai,"2023-04-05 08:43:18"
,43,"2023-04-05 09:26:44","2023-04-05 18:00:46",Selesai,"2023-04-05 09:26:44"
,44,"2023-04-05 09:56:27","2023-04-06 09:38:48",Selesai,"2023-04-05 09:56:27"
,40,"2023-04-05 11:00:20","2023-04-05 19:40:12",Selesai,"2023-04-05 11:00:20"
,22,"2023-04-05 11:17:51","2023-04-05 18:24:25",Selesai,"2023-04-05 11:17:51"
,46,"2023-04-05 12:10:02","2023-04-06 10:39:48",Selesai,"2023-04-05 12:10:02"
